ID,Mass,Mass_After_Tare,Died
b§SMITH1/3/80§N§i67,13.18,4.58,
d§MSMID1/2/0§Q§i56,11.64,3.04,
b§KVEDG1/8/60§Q§i8,8.98,0.38,
d§KVEDG1/8/60§Q§i20,9.12,0.52,
a§KVEDG1/8/60§Q§i1,9.14,0.54,
c§SMITH1/3/80§N§i172,11.7,3.1,
c§KVEDG1/8/60§Q§i13,8.83,0.23,
c§KVEDG1/8/60§Q§i11,12.42,3.82,
e§SMITH1/3/80§N§i98,12.84,4.24,
a§SMITH1/3/80§N§i61,12.55,3.95,
a§SMITH1/3/80§Q§i91,8.83,0.23,
c§SMITH1/3/80§N§i70,12.27,3.67,
a§SMITH1/3/80§Q§i92,8.98,0.38,
b§KVEDG1/8/60§Q§i4,12.56,3.96,
e§KVEDG1/8/60§Q§i23,12.39,3.79,
b§KVEDG1/8/60§Q§i9,12.27,3.67,
d§SMITH1/3/80§N§i77,12.48,3.88,
b§SMITH1/3/80§N§i63,9.22,0.62,
c§SMITH1/3/80§N§i102,9.28,0.68,
e§SMITH1/3/80§N§i81,10.13,1.53,
d§SMITH1/3/80§N§i75,8.88,0.28,
a§MSMID1/2/0§Q§i32,9.09,0.49,
b§SMITH1/3/80§N§i65,9.1,0.5,
b§KVEDG1/8/60§Q§i6,9.06,0.46,
e§SMITH1/3/80§N§i82,9.18,0.58,
a§MSMID1/2/0§Q§i38,8.75,0.15,
e§SMITH1/3/80§N§i80,8.71,0.11,
e§KVEDG1/8/60§Q§i29,12.81,4.21,
a§MSMID1/2/0§Q§i37,11.03,2.43,
a§SMITH1/3/80§Q§i90,8.89,0.29,
c§MSMID1/2/0§Q§i51,9.06,0.46,
e§SMITH1/3/80§N§i84,12.73,4.13,
e§MSMID1/1/20§Q§380,8.8,0.2,
a§SMITH1/3/80§Q§i88,8.98,0.38,
d§KVEDG1/8/60§Q§i19,8.78,0.18,
b§SMITH1/3/80§N§i64,13.1,4.5,
b§KVEDG1/8/60§Q§i3,12.35,3.75,
c§SMITH1/3/80§N§i71,12.05,3.45,
d§MSMID1/2/0§Q§i52,13.59,4.99,
a§MSMID1/2/0§Q§i34,10.82,2.22,
d§SMITH1/3/80§N§i79,11.57,2.97,
a§SMITH1/3/80§N§i59,11.53,2.93,
d§KVEDG1/8/60§Q§i17,10.56,1.96,
e§KVEDG1/8/60§Q§i26,8.77,0.17,
d§KVEDG1/8/60§Q§i18,8.82,0.22,
d§SMITH1/3/80§N§i76,9.12,0.52,
a§MSMID1/2/0§Q§i35,8.99,0.39,
e§SMITH1/3/80§N§i85,9.11,0.51,
a§MSMID1/2/0§Q§i30,15.7,7.1,
e§MSMID1/1/20§Q§376,9.07,0.47,
e§SMITH1/3/80§N§i93,9.03,0.43,
a§SMITH1/3/80§Q§i86,8.91,0.31,
b§MSMID1/2/0§Q§i400,9.2,0.6,
a§MSMID1/2/0§Q§i36,9.21,0.61,
d§KVEDG1/8/60§Q§i21,9.06,0.46,
_§KVEDG1/8/60§Q§i712,9.22,0.62,
b§SMITH1/3/80§Q§i94,8.82,0.22,
e§SMITH1/3/80§N§i83,9.92,1.32,
e§KVEDG1/8/60§Q§i24,8.82,0.22,
b§MSMID1/2/0§Q§i42,8.66,0.06,
b§SMITH1/3/80§Q§i95,8.71,0.11,
b§KVEDG1/8/60§Q§i5,12.24,3.64,
d§SMITH1/3/80§N§i74,13.47,4.87,
d§SMITH1/3/80§N§i78,8.95,0.35,
a§SMITH1/3/80§Q§i87,10.5,1.9,
e§KVEDG1/8/60§Q§i28,9.28,0.68,
_§SMITH1/3/80§N§i68,11.63,3.03,
e§KVEDG1/8/60§Q§i25,8.85,0.25,
b§KVEDG1/8/60§Q§i2,9.13,0.53,
c§SMITH1/3/80§N§i73,9.2,0.6,
d§KVEDG1/8/60§Q§i15,8.77,0.17,
a§MSMID1/2/0§Q§i31,9.04,0.44,
c§SMITH1/3/80§Q§i105,9.29,0.69,
e§MSMID1/1/20§Q§384,8.81,0.21,
a§SMITH1/3/80§N,8.97,0.37,
c§MSMID1/2/0§Q§i47,10.26,1.66,
e§KVEDG1/8/60§Q§i27,9.22,0.62,
b§KVEDG1/8/60§Q§i7,12.73,4.13,
c§SMITH1/3/80§N§i101,12.69,4.09,
e§SMITH1/3/80§N§i97,12.73,4.13,
c§SMITH1/1/0§Q§i156,N/A,N/A,Y
a§SMITH1/1/0§Q§i155,N/A,N/A,Y
a§SMITH1/1/0§Q§i154,N/A,N/A,Y
a§KVEDG1/1/80§Q§274,N/A,N/A,Y
d§JBBLB2/1/20§Q§197,N/A,N/A,Y