,Variable_Glob,Year1,Year2,Model
3,treatment,"(17.5, < 0.001)","(17.6, < 0.001)",1
2,PC1Tot,"(150.9, < 0.001)","(52.3, < 0.001)",1
5,MapleDamage,"(24.1, < 0.001)","(0.1, 0.8)",1
4,Fern,"(6.2, < 0.05)","(0.1, 0.73)",1
1,(1 | gh_bench),"(0, 1)","(0, 1)",1
7,PCCG_1,"(11.5, < 0.001)","(0.4, 0.51)",2
8,PCCG_2,"(5.8, < 0.05)","(0.7, 0.41)",2
41,RGR1,"(0, 0.99)","(0, 1)",2
31,GM_TotalLeaf_AreaS,"(0, 0.89)","(11.5, < 0.001)",2
51,Family,"(20.3, 0.57)","(26.5, 0.23)",2
6,PC1Tot,"(102, < 0.001)","(40.9, < 0.001)",2
9,MapleDamage,"(12.5, < 0.001)","(0, 0.89)",2
21,Fern,"(1.5, 0.22)","(0.3, 0.61)",2
12,(1 | gh_bench),"(0.3, 0.57)","(0, 0.84)",2
10,(1 | Col_Field),NA,"(0, 1)",2
11,(1 | Row_Field),NA,"(4.6, < 0.05)",2